var_id,ram_addr,size,name_or_blank,scaling_or_blank,evidence
1658,0x80249d,1,,fmt=0x36 A=0x00,handler 0x43ffc; tools/measuring_vars.py
1659,0x80249c,1,,fmt=0x36 A=0x00,handler 0x4400c; tools/measuring_vars.py
1668,0x7fb69a,2,,fmt=0x10 A=0xff,"handler 0x4401c; also reads 0x7fd041/1,0x7fe91a/1,0x80156f/1,0x7f9424/1; tools/measuring_vars.py"
1678,0x7fd203,1,,fmt=0x10 A=0xff,"handler 0x440a0; also reads 0x7fd255/1,0x7fd22b/1,0x7fea19/1,0x7f9d77/1,0x7f9d6b/1; tools/measuring_vars.py"
1679,0x7f9c2a,2,,fmt=0x14 A=0x19,handler 0x4416c; tools/measuring_vars.py
1680,0x7f9c28,2,,fmt=0x14 A=0x19,handler 0x441b4; tools/measuring_vars.py
1681,0x7f9c26,2,,fmt=0x14 A=0x19,handler 0x441fc; tools/measuring_vars.py
1682,0x7f9c24,2,,fmt=0x14 A=0x19,handler 0x44244; tools/measuring_vars.py
1683,0x80178c,2,,fmt=0x05 A=0x3c,handler 0x4428c; tools/measuring_vars.py
1686,0x803176,2,,fmt=0x36,handler 0x442d4; tools/measuring_vars.py
1687,0x8031d2,2,,fmt=0x63,handler 0x442e4; tools/measuring_vars.py
1688,0x7f9422,2,,fmt=0x53,handler 0x442f8; tools/measuring_vars.py
1689,0x7fd2d9,1,,fmt=0x10 A=0x03,handler 0x44314; also reads 0x80201e/1; tools/measuring_vars.py
1690,0x803198,2,,fmt=0x21 A=0xff,handler 0x44350; tools/measuring_vars.py
1691,0x8031ca,2,,fmt=0x53,handler 0x4436c; tools/measuring_vars.py
1692,0x801f99,1,,fmt=0x1a A=0x30,handler 0x44388; tools/measuring_vars.py
1693,0x7f940c,1,,fmt=0x1a A=0x30,handler 0x443a4; tools/measuring_vars.py
1695,0x7f9416,2,,fmt=0x3e A=0x19,handler 0x443c0; tools/measuring_vars.py
1698,0x7f9412,2,,fmt=0x53,handler 0x443e8; tools/measuring_vars.py
1699,0x7f9414,2,,fmt=0x53,handler 0x44404; tools/measuring_vars.py
1707,0x801ac4,2,,fmt=0x08 A=0x14,handler 0x44420; tools/measuring_vars.py
1708,0x801adc,2,,fmt=0x08 A=0x14,handler 0x44450; tools/measuring_vars.py
